Time,Amount,Class,anomaly_score,logged_at
1264.0,7712.43,0,-1,2026-08-25T19:38:47.717455
2507.0,544.62,0,-1,2026-08-25T19:38:47.717455
8592.0,845.73,0,-1,2026-08-25T19:38:47.717455
11080.0,1.0,1,-1,2026-08-25T19:38:47.717455
11131.0,1.0,1,-1,2026-08-25T19:38:47.717455
11621.0,55.25,0,-1,2026-08-25T19:38:47.717455
11629.0,1.0,1,-1,2026-08-25T19:38:47.717455
12597.0,1.0,1,-1,2026-08-25T19:38:47.717455
13126.0,1.0,1,-1,2026-08-25T19:38:47.717455
13323.0,1.0,1,-1,2026-08-25T19:38:47.717455
14073.0,1.0,1,-1,2026-08-25T19:38:47.717455
14152.0,1.0,1,-1,2026-08-25T19:38:47.717455
17520.0,1.0,1,-1,2026-08-25T19:38:47.717455
17838.0,766.36,1,-1,2026-08-25T19:38:47.717455
18064.0,89.99,0,-1,2026-08-25T19:38:47.717455
18088.0,1218.89,1,-1,2026-08-25T19:38:47.717455
18359.0,89.99,0,-1,2026-08-25T19:38:47.717455
18399.0,1.0,1,-1,2026-08-25T19:38:47.717455
18405.0,1.0,0,-1,2026-08-25T19:38:47.717455
18675.0,188.78,1,-1,2026-08-25T19:38:47.717455
18690.0,1.0,1,-1,2026-08-25T19:38:47.717455
18709.0,89.99,0,-1,2026-08-25T19:38:47.717455
19762.0,1.0,1,-1,2026-08-25T19:38:47.717455
20011.0,1.0,1,-1,2026-08-25T19:38:47.717455
20332.0,1.0,1,-1,2026-08-25T19:38:47.717455
20451.0,1.0,1,-1,2026-08-25T19:38:47.717455
20823.0,1.0,0,-1,2026-08-25T19:38:47.717455
20931.0,1.0,1,-1,2026-08-25T19:38:47.717455
21046.0,1.0,1,-1,2026-08-25T19:38:47.717455
21177.0,89.99,0,-1,2026-08-25T19:38:47.717455
21377.0,89.99,0,-1,2026-08-25T19:38:47.717455
21419.0,1.0,1,-1,2026-08-25T19:38:47.717455
21570.0,89.99,0,-1,2026-08-25T19:38:47.717455
21662.0,1.0,1,-1,2026-08-25T19:38:47.717455
21860.0,89.99,0,-1,2026-08-25T19:38:47.717455
22690.0,89.99,0,-1,2026-08-25T19:38:47.717455
22731.0,89.99,0,-1,2026-08-25T19:38:47.717455
23665.0,89.99,0,-1,2026-08-25T19:38:47.717455
23698.0,89.99,0,-1,2026-08-25T19:38:47.717455
23903.0,89.99,0,-1,2026-08-25T19:38:47.717455
24120.0,89.99,0,-1,2026-08-25T19:38:47.717455
24145.0,89.99,0,-1,2026-08-25T19:38:47.717455
24342.0,89.99,0,-1,2026-08-25T19:38:47.717455
24532.0,89.99,0,-1,2026-08-25T19:38:47.717455
24735.0,89.99,0,-1,2026-08-25T19:38:47.717455
24955.0,89.99,0,-1,2026-08-25T19:38:47.717455
25198.0,99.99,1,-1,2026-08-25T19:38:47.717455
25231.0,99.99,1,-1,2026-08-25T19:38:47.717455
25254.0,99.99,1,-1,2026-08-25T19:38:47.717455
26217.0,1.0,0,-1,2026-08-25T19:38:47.717455
26523.0,99.99,1,-1,2026-08-25T19:38:47.717455
26556.0,99.99,1,-1,2026-08-25T19:38:47.717455
26585.0,99.99,1,-1,2026-08-25T19:38:47.717455
26833.0,99.99,1,-1,2026-08-25T19:38:47.717455
26863.0,99.99,1,-1,2026-08-25T19:38:47.717455
26899.0,99.99,1,-1,2026-08-25T19:38:47.717455
26931.0,99.99,1,-1,2026-08-25T19:38:47.717455
26961.0,99.99,1,-1,2026-08-25T19:38:47.717455
27163.0,99.99,1,-1,2026-08-25T19:38:47.717455
27187.0,99.99,1,-1,2026-08-25T19:38:47.717455
27219.0,99.99,1,-1,2026-08-25T19:38:47.717455
27252.0,99.99,1,-1,2026-08-25T19:38:47.717455
27524.0,1.0,0,-1,2026-08-25T19:38:47.717455
28143.0,99.99,1,-1,2026-08-25T19:38:47.717455
28625.0,99.99,1,-1,2026-08-25T19:38:47.717455
28658.0,99.99,1,-1,2026-08-25T19:38:47.717455
28692.0,99.99,1,-1,2026-08-25T19:38:47.717455
28726.0,99.99,1,-1,2026-08-25T19:38:47.717455
